plot,variety,irrigation,x,y,t,i,n
1A,Burwood-Prize,overhead-sprays,1,25,5,1,1
1A,Burwood-Prize,overhead-sprays,1,25,6,1,1
1A,Burwood-Prize,overhead-sprays,1,26,1,0,1
1A,Burwood-Prize,overhead-sprays,1,26,2,0,1
1A,Burwood-Prize,overhead-sprays,1,26,3,0,1
1A,Burwood-Prize,overhead-sprays,1,26,4,0,1
1A,Burwood-Prize,overhead-sprays,1,26,5,0,1
1A,Burwood-Prize,overhead-sprays,1,26,6,0,1
1A,Burwood-Prize,overhead-sprays,1,27,1,0,1
1A,Burwood-Prize,overhead-sprays,1,27,2,0,1
1A,Burwood-Prize,overhead-sprays,1,27,3,0,1
1A,Burwood-Prize,overhead-sprays,1,27,4,0,1
1A,Burwood-Prize,overhead-sprays,1,27,5,0,1
1A,Burwood-Prize,overhead-sprays,1,27,6,1,1
1A,Burwood-Prize,overhead-sprays,1,28,1,0,1
1A,Burwood-Prize,overhead-sprays,1,28,2,0,1
1A,Burwood-Prize,overhead-sprays,1,28,3,0,1
1A,Burwood-Prize,overhead-sprays,1,28,4,0,1
1A,Burwood-Prize,overhead-sprays,1,28,5,0,1
1A,Burwood-Prize,overhead-sprays,1,28,6,1,1
1A,Burwood-Prize,overhead-sprays,1,29,1,0,1
1A,Burwood-Prize,overhead-sprays,1,29,2,0,1
1A,Burwood-Prize,overhead-sprays,1,29,3,0,1
1A,Burwood-Prize,overhead-sprays,1,29,4,0,1
1A,Burwood-Prize,overhead-sprays,1,29,5,0,1
1A,Burwood-Prize,overhead-sprays,1,29,6,0,1
1A,Burwood-Prize,overhead-sprays,1,30,1,0,1
1A,Burwood-Prize,overhead-sprays,1,30,2,0,1
1A,Burwood-Prize,overhead-sprays,1,30,3,0,1
1A,Burwood-Prize,overhead-sprays,1,30,4,0,1
1A,Burwood-Prize,overhead-sprays,1,30,5,0,1
1A,Burwood-Prize,overhead-sprays,1,30,6,1,1
1A,Burwood-Prize,overhead-sprays,1,31,1,1,1
1A,Burwood-Prize,overhead-sprays,1,31,2,1,1
1A,Burwood-Prize,overhead-sprays,1,31,3,1,1
1A,Burwood-Prize,overhead-sprays,1,31,4,1,1
1A,Burwood-Prize,overhead-sprays,1,31,5,1,1
1A,Burwood-Prize,overhead-sprays,1,31,6,1,1
1A,Burwood-Prize,overhead-sprays,1,32,1,1,1
1A,Burwood-Prize,overhead-sprays,1,32,2,1,1
1A,Burwood-Prize,overhead-sprays,1,32,3,1,1
1A,Burwood-Prize,overhead-sprays,1,32,4,1,1
1A,Burwood-Prize,overhead-sprays,1,32,5,1,1
1A,Burwood-Prize,overhead-sprays,1,32,6,1,1
1A,Burwood-Prize,overhead-sprays,1,33,1,0,1
1A,Burwood-Prize,overhead-sprays,1,33,2,0,1
1A,Burwood-Prize,overhead-sprays,1,33,3,0,1
1A,Burwood-Prize,overhead-sprays,1,33,4,0,1
1A,Burwood-Prize,overhead-sprays,1,33,5,0,1
1A,Burwood-Prize,overhead-sprays,1,33,6,0,1
1A,Burwood-Prize,overhead-sprays,2,1,1,1,1
1A,Burwood-Prize,overhead-sprays,2,1,2,1,1
1A,Burwood-Prize,overhead-sprays,2,1,3,1,1
1A,Burwood-Prize,overhead-sprays,2,1,4,1,1
1A,Burwood-Prize,overhead-sprays,2,1,5,1,1
1A,Burwood-Prize,overhead-sprays,2,1,6,1,1
1A,Burwood-Prize,overhead-sprays,2,2,1,0,1
1A,Burwood-Prize,overhead-sprays,2,2,2,0,1
1A,Burwood-Prize,overhead-sprays,2,2,3,0,1
1A,Burwood-Prize,overhead-sprays,2,2,4,1,1
1A,Burwood-Prize,overhead-sprays,2,2,5,1,1
1A,Burwood-Prize,overhead-sprays,2,2,6,1,1
1A,Burwood-Prize,overhead-sprays,2,3,1,0,1
1A,Burwood-Prize,overhead-sprays,2,3,2,0,1
1A,Burwood-Prize,overhead-sprays,2,3,3,0,1
1A,Burwood-Prize,overhead-sprays,2,3,4,1,1
1A,Burwood-Prize,overhead-sprays,2,3,5,1,1
1A,Burwood-Prize,overhead-sprays,2,3,6,1,1
1A,Burwood-Prize,overhead-sprays,2,4,1,0,1
1A,Burwood-Prize,overhead-sprays,2,4,2,0,1
1A,Burwood-Prize,overhead-sprays,2,4,3,1,1
1A,Burwood-Prize,overhead-sprays,2,4,4,1,1
1A,Burwood-Prize,overhead-sprays,2,4,5,1,1
1A,Burwood-Prize,overhead-sprays,2,4,6,1,1
1A,Burwood-Prize,overhead-sprays,2,5,1,0,1
1A,Burwood-Prize,overhead-sprays,2,5,2,1,1
1A,Burwood-Prize,overhead-sprays,2,5,3,1,1
1A,Burwood-Prize,overhead-sprays,2,5,4,1,1
1A,Burwood-Prize,overhead-sprays,2,5,5,1,1
1A,Burwood-Prize,overhead-sprays,2,5,6,1,1
1A,Burwood-Prize,overhead-sprays,2,6,1,0,1
1A,Burwood-Prize,overhead-sprays,2,6,2,1,1
1A,Burwood-Prize,overhead-sprays,2,6,3,1,1
1A,Burwood-Prize,overhead-sprays,2,6,4,1,1
1A,Burwood-Prize,overhead-sprays,2,6,5,1,1
1A,Burwood-Prize,overhead-sprays,2,6,6,1,1
1A,Burwood-Prize,overhead-sprays,2,7,1,0,1
1A,Burwood-Prize,overhead-sprays,2,7,2,0,1
1A,Burwood-Prize,overhead-sprays,2,7,3,0,1
1A,Burwood-Prize,overhead-sprays,2,7,4,0,1
1A,Burwood-Prize,overhead-sprays,2,7,5,0,1
1A,Burwood-Prize,overhead-sprays,2,7,6,0,1
1A,Burwood-Prize,overhead-sprays,2,8,1,0,1
1A,Burwood-Prize,overhead-sprays,2,8,2,0,1
1A,Burwood-Prize,overhead-sprays,2,8,3,0,1
1A,Burwood-Prize,overhead-sprays,2,8,4,1,1
1A,Burwood-Prize,overhead-sprays,2,8,5,1,1
1A,Burwood-Prize,overhead-sprays,2,8,6,1,1
1A,Burwood-Prize,overhead-sprays,2,9,1,0,1
1A,Burwood-Prize,overhead-sprays,2,9,2,0,1
1A,Burwood-Prize,overhead-sprays,2,9,3,0,1
1A,Burwood-Prize,overhead-sprays,2,9,4,1,1
1A,Burwood-Prize,overhead-sprays,2,9,5,1,1
1A,Burwood-Prize,overhead-sprays,2,9,6,1,1
1A,Burwood-Prize,overhead-sprays,2,10,1,0,1
1A,Burwood-Prize,overhead-sprays,2,10,2,1,1
1A,Burwood-Prize,overhead-sprays,2,10,3,1,1
1A,Burwood-Prize,overhead-sprays,2,10,4,1,1
1A,Burwood-Prize,overhead-sprays,2,10,5,1,1
1A,Burwood-Prize,overhead-sprays,2,10,6,1,1
1A,Burwood-Prize,overhead-sprays,2,11,1,0,1
1A,Burwood-Prize,overhead-sprays,2,11,2,0,1
1A,Burwood-Prize,overhead-sprays,2,11,3,0,1
1A,Burwood-Prize,overhead-sprays,2,11,4,1,1
1A,Burwood-Prize,overhead-sprays,2,11,5,1,1
1A,Burwood-Prize,overhead-sprays,2,11,6,1,1
1A,Burwood-Prize,overhead-sprays,2,12,1,0,1
1A,Burwood-Prize,overhead-sprays,2,12,2,0,1
1A,Burwood-Prize,overhead-sprays,2,12,3,0,1
1A,Burwood-Prize,overhead-sprays,2,12,4,0,1
1A,Burwood-Prize,overhead-sprays,2,12,5,0,1
1A,Burwood-Prize,overhead-sprays,2,12,6,0,1
1A,Burwood-Prize,overhead-sprays,2,13,1,0,1
1A,Burwood-Prize,overhead-sprays,2,13,2,0,1
1A,Burwood-Prize,overhead-sprays,2,13,3,1,1
1A,Burwood-Prize,overhead-sprays,2,13,4,1,1
1A,Burwood-Prize,overhead-sprays,2,13,5,1,1
1A,Burwood-Prize,overhead-sprays,2,13,6,1,1
1A,Burwood-Prize,overhead-sprays,2,14,1,0,1
1A,Burwood-Prize,overhead-sprays,2,14,2,0,1
1A,Burwood-Prize,overhead-sprays,2,14,3,0,1
1A,Burwood-Prize,overhead-sprays,2,14,4,0,1
1A,Burwood-Prize,overhead-sprays,2,14,5,1,1
1A,Burwood-Prize,overhead-sprays,2,14,6,1,1
1A,Burwood-Prize,overhead-sprays,2,15,1,0,1
1A,Burwood-Prize,overhead-sprays,2,15,2,0,1
1A,Burwood-Prize,overhead-sprays,2,15,3,0,1
1A,Burwood-Prize,overhead-sprays,2,15,4,0,1
1A,Burwood-Prize,overhead-sprays,2,15,5,1,1
1A,Burwood-Prize,overhead-sprays,2,15,6,1,1
1A,Burwood-Prize,overhead-sprays,2,16,1,0,1
1A,Burwood-Prize,overhead-sprays,2,16,2,0,1
1A,Burwood-Prize,overhead-sprays,2,16,3,0,1
1A,Burwood-Prize,overhead-sprays,2,16,4,0,1
1A,Burwood-Prize,overhead-sprays,2,16,5,0,1
1A,Burwood-Prize,overhead-sprays,2,16,6,0,1
1A,Burwood-Prize,overhead-sprays,2,17,1,0,1
1A,Burwood-Prize,overhead-sprays,2,17,2,1,1
1A,Burwood-Prize,overhead-sprays,2,17,3,1,1
1A,Burwood-Prize,overhead-sprays,2,17,4,1,1
1A,Burwood-Prize,overhead-sprays,2,17,5,1,1
1A,Burwood-Prize,overhead-sprays,2,17,6,1,1
1A,Burwood-Prize,overhead-sprays,2,18,1,0,1
1A,Burwood-Prize,overhead-sprays,2,18,2,0,1
1A,Burwood-Prize,overhead-sprays,2,18,3,0,1
1A,Burwood-Prize,overhead-sprays,2,18,4,0,1
1A,Burwood-Prize,overhead-sprays,2,18,5,0,1
1A,Burwood-Prize,overhead-sprays,2,18,6,1,1
1A,Burwood-Prize,overhead-sprays,2,19,1,0,1
1A,Burwood-Prize,overhead-sprays,2,19,2,0,1
1A,Burwood-Prize,overhead-sprays,2,19,3,0,1
1A,Burwood-Prize,overhead-sprays,2,19,4,1,1
1A,Burwood-Prize,overhead-sprays,2,19,5,1,1
1A,Burwood-Prize,overhead-sprays,2,19,6,1,1
1A,Burwood-Prize,overhead-sprays,2,20,1,0,1
1A,Burwood-Prize,overhead-sprays,2,20,2,0,1
1A,Burwood-Prize,overhead-sprays,2,20,3,0,1
1A,Burwood-Prize,overhead-sprays,2,20,4,1,1
1A,Burwood-Prize,overhead-sprays,2,20,5,1,1
1A,Burwood-Prize,overhead-sprays,2,20,6,1,1
1A,Burwood-Prize,overhead-sprays,2,21,1,0,1
1A,Burwood-Prize,overhead-sprays,2,21,2,0,1
1A,Burwood-Prize,overhead-sprays,2,21,3,0,1
1A,Burwood-Prize,overhead-sprays,2,21,4,1,1
1A,Burwood-Prize,overhead-sprays,2,21,5,1,1
1A,Burwood-Prize,overhead-sprays,2,21,6,1,1
1A,Burwood-Prize,overhead-sprays,2,22,1,0,1
1A,Burwood-Prize,overhead-sprays,2,22,2,0,1
1A,Burwood-Prize,overhead-sprays,2,22,3,1,1
1A,Burwood-Prize,overhead-sprays,2,22,4,1,1
1A,Burwood-Prize,overhead-sprays,2,22,5,1,1
1A,Burwood-Prize,overhead-sprays,2,22,6,1,1
1A,Burwood-Prize,overhead-sprays,2,23,1,0,1
1A,Burwood-Prize,overhead-sprays,2,23,2,0,1
1A,Burwood-Prize,overhead-sprays,2,23,3,0,1
1A,Burwood-Prize,overhead-sprays,2,23,4,1,1
1A,Burwood-Prize,overhead-sprays,2,23,5,1,1
1A,Burwood-Prize,overhead-sprays,2,23,6,1,1
1A,Burwood-Prize,overhead-sprays,2,24,1,0,1
1A,Burwood-Prize,overhead-sprays,2,24,2,0,1
1A,Burwood-Prize,overhead-sprays,2,24,3,0,1
1A,Burwood-Prize,overhead-sprays,2,24,4,1,1
1A,Burwood-Prize,overhead-sprays,2,24,5,1,1
1A,Burwood-Prize,overhead-sprays,2,24,6,1,1
1A,Burwood-Prize,overhead-sprays,2,25,1,0,1
1A,Burwood-Prize,overhead-sprays,2,25,2,0,1
1A,Burwood-Prize,overhead-sprays,2,25,3,0,1
1A,Burwood-Prize,overhead-sprays,2,25,4,1,1
1A,Burwood-Prize,overhead-sprays,2,25,5,1,1
1A,Burwood-Prize,overhead-sprays,2,25,6,1,1
1A,Burwood-Prize,overhead-sprays,2,26,1,0,1
1A,Burwood-Prize,overhead-sprays,2,26,2,0,1
1A,Burwood-Prize,overhead-sprays,2,26,3,0,1
1A,Burwood-Prize,overhead-sprays,2,26,4,0,1
1A,Burwood-Prize,overhead-sprays,2,26,5,0,1
1A,Burwood-Prize,overhead-sprays,2,26,6,0,1
1A,Burwood-Prize,overhead-sprays,2,27,1,1,1
1A,Burwood-Prize,overhead-sprays,2,27,2,1,1
1A,Burwood-Prize,overhead-sprays,2,27,3,1,1
1A,Burwood-Prize,overhead-sprays,2,27,4,1,1
1A,Burwood-Prize,overhead-sprays,2,27,5,1,1
1A,Burwood-Prize,overhead-sprays,2,27,6,1,1
1A,Burwood-Prize,overhead-sprays,2,28,1,0,1
1A,Burwood-Prize,overhead-sprays,2,28,2,0,1
1A,Burwood-Prize,overhead-sprays,2,28,3,0,1
1A,Burwood-Prize,overhead-sprays,2,28,4,0,1
1A,Burwood-Prize,overhead-sprays,2,28,5,1,1
1A,Burwood-Prize,overhead-sprays,2,28,6,1,1
1A,Burwood-Prize,overhead-sprays,2,29,1,0,1
1A,Burwood-Prize,overhead-sprays,2,29,2,0,1
1A,Burwood-Prize,overhead-sprays,2,29,3,0,1
1A,Burwood-Prize,overhead-sprays,2,29,4,1,1
1A,Burwood-Prize,overhead-sprays,2,29,5,1,1
1A,Burwood-Prize,overhead-sprays,2,29,6,1,1
1A,Burwood-Prize,overhead-sprays,2,30,1,0,1
1A,Burwood-Prize,overhead-sprays,2,30,2,0,1
1A,Burwood-Prize,overhead-sprays,2,30,3,0,1
1A,Burwood-Prize,overhead-sprays,2,30,4,0,1
1A,Burwood-Prize,overhead-sprays,2,30,5,0,1
1A,Burwood-Prize,overhead-sprays,2,30,6,0,1
1A,Burwood-Prize,overhead-sprays,2,31,1,0,1
1A,Burwood-Prize,overhead-sprays,2,31,2,0,1
1A,Burwood-Prize,overhead-sprays,2,31,3,1,1
1A,Burwood-Prize,overhead-sprays,2,31,4,1,1
1A,Burwood-Prize,overhead-sprays,2,31,5,1,1
1A,Burwood-Prize,overhead-sprays,2,31,6,1,1
