x,y,t,r,n
6,18,1,0,1
6,18,2,0,1
6,19,1,0,1
6,19,2,0,1
6,20,1,0,1
6,20,2,0,1
6,21,1,0,1
6,21,2,0,1
7,1,1,0,1
7,1,2,0,1
7,2,1,1,1
7,2,2,1,1
7,3,1,0,1
7,3,2,0,1
7,4,1,1,1
7,4,2,1,1
7,5,1,0,1
7,5,2,0,1
7,6,1,0,1
7,6,2,0,1
7,7,1,0,1
7,7,2,0,1
7,8,1,0,1
7,8,2,0,1
7,9,1,0,1
7,9,2,0,1
7,10,1,0,1
7,10,2,0,1
7,11,1,0,1
7,11,2,0,1
7,12,1,0,1
7,12,2,0,1
7,13,1,0,1
7,13,2,0,1
7,14,1,0,1
7,14,2,0,1
7,15,1,0,1
7,15,2,0,1
7,16,1,0,1
7,16,2,0,1
7,17,1,0,1
7,17,2,0,1
7,18,1,0,1
7,18,2,0,1
7,19,1,0,1
7,19,2,0,1
7,20,1,0,1
7,20,2,0,1
7,21,1,0,1
7,21,2,0,1
8,1,1,0,1
8,1,2,0,1
8,2,1,0,1
8,2,2,0,1
8,3,1,0,1
8,3,2,0,1
8,4,1,1,1
8,4,2,1,1
8,5,1,0,1
8,5,2,0,1
8,6,1,0,1
8,6,2,0,1
8,7,1,0,1
8,7,2,0,1
8,8,1,0,1
8,8,2,0,1
8,9,1,0,1
8,9,2,0,1
8,10,1,0,1
8,10,2,0,1
8,11,1,0,1
8,11,2,0,1
8,12,1,0,1
8,12,2,0,1
8,13,1,0,1
8,13,2,0,1
8,14,1,0,1
8,14,2,0,1
8,15,1,0,1
8,15,2,0,1
8,16,1,0,1
8,16,2,0,1
8,17,1,0,1
8,17,2,0,1
8,18,1,0,1
8,18,2,0,1
8,19,1,0,1
8,19,2,0,1
8,20,1,0,1
8,20,2,0,1
8,21,1,0,1
8,21,2,0,1
9,1,1,0,1
9,1,2,0,1
9,2,1,0,1
9,2,2,0,1
9,3,1,1,1
9,3,2,1,1
9,4,1,1,1
9,4,2,1,1
9,5,1,1,1
9,5,2,1,1
9,6,1,0,1
9,6,2,0,1
9,7,1,0,1
9,7,2,0,1
9,8,1,0,1
9,8,2,0,1
9,9,1,0,1
9,9,2,0,1
9,10,1,0,1
9,10,2,0,1
9,11,1,0,1
9,11,2,0,1
9,12,1,0,1
9,12,2,0,1
9,13,1,0,1
9,13,2,0,1
9,14,1,0,1
9,14,2,0,1
9,15,1,0,1
9,15,2,0,1
9,16,1,0,1
9,16,2,0,1
9,17,1,0,1
9,17,2,0,1
9,18,1,0,1
9,18,2,0,1
9,19,1,0,1
9,19,2,0,1
9,20,1,0,1
9,20,2,0,1
9,21,1,0,1
9,21,2,0,1
10,1,1,0,1
10,1,2,0,1
10,2,1,1,1
10,2,2,1,1
10,3,1,0,1
10,3,2,0,1
10,4,1,1,1
10,4,2,1,1
10,5,1,0,1
10,5,2,0,1
10,6,1,0,1
10,6,2,0,1
10,7,1,0,1
10,7,2,0,1
10,8,1,0,1
10,8,2,0,1
10,9,1,0,1
10,9,2,0,1
10,10,1,0,1
10,10,2,0,1
10,11,1,0,1
10,11,2,0,1
10,12,1,0,1
10,12,2,0,1
10,13,1,0,1
10,13,2,0,1
10,14,1,0,1
10,14,2,0,1
10,15,1,0,1
10,15,2,0,1
10,16,1,0,1
10,16,2,0,1
10,17,1,0,1
10,17,2,0,1
10,18,1,0,1
10,18,2,0,1
10,19,1,1,1
10,19,2,1,1
10,20,1,0,1
10,20,2,0,1
10,21,1,0,1
10,21,2,0,1
11,1,1,0,1
11,1,2,0,1
11,2,1,0,1
11,2,2,0,1
11,3,1,1,1
11,3,2,1,1
11,4,1,0,1
11,4,2,0,1
11,5,1,0,1
11,5,2,0,1
11,6,1,0,1
11,6,2,0,1
11,7,1,0,1
11,7,2,0,1
11,8,1,0,1
11,8,2,0,1
11,9,1,0,1
11,9,2,0,1
11,10,1,0,1
11,10,2,0,1
11,11,1,0,1
11,11,2,0,1
11,12,1,0,1
11,12,2,0,1
11,13,1,0,1
